gene_id,symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000167861,HID1,9065.023659273122,0.19342332109253532,0.10242744708055865,1.8883934590345584,0.05897314881151511,0.14449491967775022
ENSG00000167862,MRPL58,1510.883995048857,-0.14746205497377604,0.07902081888899125,-1.8661165126741006,0.0620250661985188,0.1502519919814938
ENSG00000167863,ATP5PD,6467.332825743709,-0.062304436657790445,0.08490504535442173,-0.7338131249763913,0.46306264018215676,0.6163119881235308
ENSG00000167874,TMEM88,204.87175722139744,-0.5244422306760693,0.13053457653944242,-4.017649917587954,5.878143817482181e-5,7.778615587665963e-4
ENSG00000167880,EVPL,3677.8055115500565,0.1704117407515891,0.09638648685041912,1.768004481956571,0.07706015438331644,0.17528275286141456
ENSG00000167881,SRP68,4963.627713951351,-0.02895467307831353,0.04785968250900625,-0.6049909142808215,0.5451850336719244,0.6865488378417282
ENSG00000167889,MGAT5B,296.0740012219948,-1.1499093783854228,0.21880649874495722,-5.255371229744722,1.4772618541364115e-7,6.2894078285218895e-6
ENSG00000167895,TMC8,719.5170229960793,0.38373735332439823,0.09353210845807788,4.102733912989821,4.082967241135443e-5,5.81248664593516e-4
ENSG00000167900,TK1,4980.809755196575,-0.14091041808895668,0.09624112081425108,-1.4641394125170155,0.14315586047594125,0.2737071004918486
ENSG00000167904,TMEM68,1619.7353871428331,-0.17082186138307037,0.06163392096405377,-2.7715559664409044,0.005578908095353522,0.02523804948200891
ENSG00000167910,CYP7A1,2.1154532790023985,0.09211330002724481,0.1725830829841691,0.5337330776255416,0.5935262205679751,0.7252219399979644
ENSG00000167914,GSDMA,40.16977915203837,-0.01143754050857245,0.15308256364424844,-0.07471484822499036,0.9404415935200567,0.9661363308108273
ENSG00000167925,GHDC,1633.1301535663088,0.1422302203897581,0.05913502136946935,2.405177458229342,0.01616461417888783,0.0561692600243505
ENSG00000167930,FAM234A,4361.881734469283,-0.019408171622211215,0.0641375386569863,-0.30260237652723115,0.7621929031313606,0.8482672131472334
ENSG00000167941,SOST,50.961546902077615,-1.3099267096820908,0.22139417515422538,-5.916717134809815,3.284308052088405e-9,2.905177734230821e-7
ENSG00000167962,ZNF598,3456.8147469982614,0.0845237734845408,0.06288421504060966,1.3441174932366835,0.17891039616225526,0.32173149500331744
ENSG00000167964,RAB26,175.1737032451662,0.043859840083156444,0.1262060226953289,0.3475257293309804,0.7281963923829491,0.8247370664430417
